center_first_coord;center_second_coord;geom;color;triangle_geom;velocity_first_coord;velocity_second_coord;triangle_vel
50;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
50;150;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
50;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
50;450;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
50;550;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
150;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
150;150;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
150;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
150;450;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
150;550;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
300;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
300;150;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
300;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
300;450;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
300;550;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
450;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
450;150;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
450;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
450;450;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
450;550;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
600;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
600;150;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
600;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
600;450;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
600;550;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
750;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
750;150;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
750;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
750;450;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
750;550;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
