center_first_coord;center_second_coord;geom;color;triangle_geom;velocity_first_coord;velocity_second_coord;triangle_vel
300;200;-20,20,-20,-20,20,-20,20,20;blue;1;1;0;1
400;300;-20,20,-20,-20,20,-20,20,20;blue;1;1;0;1
100;400;-20,20,-20,-20,20,-20,20,20;blue;1.5;1;0;1
200;430;-20,20,-20,-20,20,-20,20,20;blue;1;1;0;1
100;200;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
390;600;-20,20,-20,-20,20,-20,20,20;blue;1;1;0;1
600;500;-20,20,-20,-20,20,-20,20,20;blue;1.5;1;0;1
700;390;-20,20,-20,-20,20,-20,20,20;blue;1;1;0;1
700;560;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
700;300;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
700;200;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
400;200;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
400;100;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
100;200;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
100;500;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;0
500;50;-20,20,-20,-20,20,-20,20,20;blue;1;0;0;1
